il,akp,mhp,chp,saadet,hdp,bbp,btp,dp,dsp,hkp,kp,millet,vatan,dyp,"hak_par",ldp,alan,latitude,longitude,ny,"nüfus",plaka,telefon,vali
adana,326193,259442,334154,16943,158302,,1533,1442,1693,1290,286,477,3501,994,1119,878,14125,37,"35.321333",154,2183167,1,322,"mahmut demirtaş"
"adıyaman",175161,12474,33408,5904,69018,,622,295,520,396,51,100,320,331,412,86,7644,"37.764751","38.278561",78,602774,2,416,"abdullah erin"
afyonkarahisar,209056,103254,66645,8792,4243,,685,2038,1217,1030,57,371,813,493,,,14772,"38.750714","30.556692",47,709015,3,272,"aziz yıldırım"
aksaray,118413,61505,13435,2613,3397,,439,295,521,465,33,141,228,136,346,,7997,"38.36869","34.03698",48,386514,68,382,"aykut pekmez"
amasya,85987,41313,51394,4430,2292,,237,280,353,239,30,75,262,128,336,139,5702,"40.64991","35.83532",56,322167,5,358,"salih ışık"
ankara,1264803,553463,911615,57405,161826,,7830,2716,4742,2138,1221,1037,15296,695,2039,1951,25437,"39.92077","32.85411",207,5270575,6,312,"ercan topaca"
antalya,431588,268193,407062,16344,88399,,2397,2434,2072,1391,452,528,6020,1208,2175,1080,20909,"36.88414","30.70563",109,2288456,7,242,"münir karaloğlu"
ardahan,12478,3922,11660,491,16854,,575,70,210,149,21,29,140,301,129,24,5156,"41.110481","42.702171",19,99265,75,478,"ibrahim özefe"
artvin,33680,21646,31751,1663,2843,,311,311,230,200,43,39,300,97,252,100,7359,"41.18277","41.818292",22,16837,8,466,"ömer doğanay"
"aydın",188802,118006,264087,7028,57925,,1080,1822,1152,820,204,303,4357,846,1396,557,7943,"37.856041","27.841631",132,1053506,9,256,"ömer faruk koçak"
"ağrı",35696,4995,2183,1272,174619,,586,97,206,315,29,57,58,,321,,1152,"39.626922","43.021596",47,54721,4,472,"musa ışın"
"balıkesir",295559,153511,257083,13908,23464,,1455,2498,1833,1335,228,359,4098,903,,694,14272,"39.648369","27.88261",83,1186688,10,266,"ersin yazıcı"
"bartın",41366,19796,33334,5178,1392,,290,330,389,286,32,128,371,171,386,126,2079,"41.581051","32.460979",91,190708,74,378,"nusret dirim"
batman,43140,2553,1644,2344,185542,,432,102,159,215,54,47,71,,355,,468,"37.881168","41.13509",121,566633,72,488,"ahmet deniz"
bayburt,23833,13389,851,1148,448,,42,67,59,60,4,11,20,,58,32,3741,"40.255169","40.22488",20,7855,69,458,"ismail ustaoğlu"
bilecik,47940,33532,38118,2860,4323,,258,328,223,185,25,47,459,158,186,148,431,"40.056656","30.066524",49,212361,11,228,"süleyman elban"
"bingöl",60944,3661,1428,1422,52391,,533,88,282,259,39,36,174,,434,,8277,"39.062635","40.76961",32,267184,12,426,"yavuz selim köşger"
bitlis,37373,4431,1632,1014,64287,,303,75,212,249,21,34,49,,231,,8885,"38.393799","42.12318",38,340449,13,434,"ahmet çınar"
bolu,92448,29137,44630,6156,3000,,436,604,390,255,73,101,489,246,570,150,8341,"40.575977","31.578809",34,291095,14,374,"aydın baruş"
burdur,67693,36581,40252,4165,2341,,284,538,430,264,52,115,533,257,498,177,7174,"37.461267","30.066524",36,258339,15,248,"şerif yılmaz"
bursa,698907,291514,473681,52252,77771,,3941,3672,3460,1857,452,772,5952,1611,2973,1471,10882,"40.266864","29.063448",261,2842547,16,224,"izzettin küçük"
denizli,232796,109728,211101,8396,23451,,978,1686,1265,747,162,326,2582,727,,570,11861,"37.77652","29.08639",83,993442,20,258,"ahmet altıparmak"
"diyarbakır",96445,6457,5770,3272,556501,,1275,325,533,878,102,172,456,,1629,,15272,"37.91441","40.230629",108,1654196,21,412,"hüseyin aksoy"
"düzce",123498,33861,34040,8662,4360,,787,465,585,284,46,91,719,192,562,162,2574,"40.843849","31.15654",140,360388,81,380,"zülfikar dağlı"
edirne,54077,34898,115609,3341,6401,,244,446,601,403,102,146,1163,246,576,210,6119,"41.681808","26.562269",65,402537,22,284,"günay özdemir"
"elazığ",165851,65394,20904,9305,48130,,788,333,580,694,71,93,287,397,677,,9313,"38.680969","39.226398",61,574304,23,424,"murat zorluoğlu"
erzincan,60681,20267,31165,2370,6857,,130,84,213,132,19,20,176,73,97,56,11903,"39.75","39.5",18,222918,24,446,"ali arslantaş"
erzurum,153287,66263,8887,6709,66516,,578,327,634,792,41,65,211,,448,,25355,"39.9","41.27",30,762321,25,442,"seyfettin azizoğlu"
"eskişehir",155182,71872,166670,10103,14292,,844,1350,1221,396,125,232,1815,467,477,320,13925,"39.776667","30.520556",59,826716,26,222,"azmi çelik"
gaziantep,422412,162939,147043,18127,137166,,2382,1344,1573,1171,189,432,1482,,923,567,6887,"37.06622","37.38332",280,1931836,27,342,"ali yerlikaya"
giresun,133138,46717,56521,6198,2530,,576,396,682,549,57,106,564,172,712,225,6831,"40.912811","38.38953",62,426686,28,454,"hasan karahan"
