il,akp,mhp,chp,saadet,hdp,bbp,btp,dp,dsp,hkp,kp,millet,vatan,dyp,"hak_par",ldp,alan,latitude,longitude,ny,"nüfus",plaka,telefon,vali
adana,409686,222211,352357,7123,132916,4357,979,1339,700,1865,552,447,2669,,2352,782,14125,37,"35.321333",154,2183167,1,322,"mahmut demirtaş"
"adıyaman",218289,9148,34764,2028,45019,1789,173,207,108,405,521,93,320,102,665,215,7644,"37.764751","38.278561",78,602774,2,416,"abdullah erin"
afyonkarahisar,257301,70402,65612,3228,2303,2890,464,1588,288,869,586,305,743,296,,130,14772,"38.750714","30.556692",47,709015,3,272,"aziz yıldırım"
aksaray,149870,37772,15307,810,1618,1252,308,268,110,438,361,108,190,72,472,,7997,"38.36869","34.03698",48,386514,68,382,"aykut pekmez"
amasya,98767,36143,49385,1218,1575,1316,199,296,135,322,219,82,358,86,583,45,5702,"40.64991","35.83532",56,322167,5,358,"salih ışık"
ankara,1550630,451092,986778,13540,129913,23134,3099,2409,1282,3069,3259,1067,10050,328,4900,1689,25437,"39.92077","32.85411",207,5270575,6,312,"ercan topaca"
antalya,529791,221758,430088,6086,73737,5890,1239,2427,686,2278,683,619,4053,,3371,758,20909,"36.88414","30.70563",109,2288456,7,242,"münir karaloğlu"
ardahan,17194,4503,14875,127,11974,335,59,86,124,279,112,37,149,102,296,,5156,"41.110481","42.702171",19,99265,75,478,"ibrahim özefe"
artvin,38881,12378,35808,869,2141,417,226,340,108,297,140,86,285,78,602,52,7359,"41.18277","41.818292",22,16837,8,466,"ömer doğanay"
"aydın",221955,103661,269204,2254,46464,3130,746,1718,599,1194,713,361,2885,455,2530,464,7943,"37.856041","27.841631",132,1053506,9,256,"ömer faruk koçak"
"ağrı",54405,2868,2622,652,136960,1122,168,130,118,379,115,46,80,,471,769,1152,"39.626922","43.021596",47,54721,4,472,"musa ışın"
"balıkesir",349940,113654,263779,6564,17955,3495,918,2745,852,1830,465,440,3095,,,416,14272,"39.648369","27.88261",83,1186688,10,266,"ersin yazıcı"
"bartın",54219,11586,32941,2136,925,571,164,341,302,364,190,142,349,91,671,,2079,"41.581051","32.460979",91,190708,74,378,"nusret dirim"
batman,67479,1513,2473,1378,172463,957,87,89,43,751,147,24,55,97,343,,468,"37.881168","41.13509",121,566633,72,488,"ahmet deniz"
bayburt,28682,8844,730,582,185,188,51,66,8,103,69,24,22,10,91,,3741,"40.255169","40.22488",20,7855,69,458,"ismail ustaoğlu"
bilecik,59943,18342,44073,1210,3209,982,171,364,92,261,138,86,384,126,504,94,431,"40.056656","30.066524",49,212361,11,228,"süleyman elban"
"bingöl",83021,2255,1561,854,37203,1067,101,63,53,507,238,37,87,104,378,,8277,"39.062635","40.76961",32,267184,12,426,"yavuz selim köşger"
bitlis,49199,2344,3195,591,50590,517,83,95,57,430,151,27,60,83,219,,8885,"38.393799","42.12318",38,340449,13,434,"ahmet çınar"
bolu,113499,20088,39753,1963,1995,1398,236,653,185,393,308,115,445,135,674,79,8341,"40.575977","31.578809",34,291095,14,374,"aydın baruş"
burdur,80620,31112,36764,1782,1168,1097,204,577,209,425,237,154,409,157,665,85,7174,"37.461267","30.066524",36,258339,15,248,"şerif yılmaz"
bursa,889487,211670,467586,17526,59726,8780,2185,3553,1442,2729,1458,929,4128,,4297,1050,10882,"40.266864","29.063448",261,2842547,16,224,"izzettin küçük"
denizli,272213,89392,209110,2340,16686,4388,737,1506,545,1010,829,414,2053,490,2115,294,11861,"37.77652","29.08639",83,993442,20,258,"ahmet altıparmak"
"diyarbakır",146296,3717,9371,1789,505230,2351,429,266,197,1798,678,171,211,,1107,,15272,"37.91441","40.230629",108,1654196,21,412,"hüseyin aksoy"
"düzce",151739,18455,35852,2459,2460,1360,261,417,181,421,337,92,513,102,694,76,2574,"40.843849","31.15654",140,360388,81,380,"zülfikar dağlı"
edirne,60176,23774,122924,1745,5011,725,194,459,451,655,241,108,1085,173,1116,169,6119,"41.681808","26.562269",65,402537,22,284,"günay özdemir"
"elazığ",215609,43481,19418,3791,35605,1806,368,296,104,724,573,83,244,152,709,,9313,"38.680969","39.226398",61,574304,23,424,"murat zorluoğlu"
erzincan,71141,12295,34588,698,3913,842,67,87,27,163,125,18,232,37,420,42,11903,"39.75","39.5",18,222918,24,446,"ali arslantaş"
erzurum,200986,40992,9412,2321,46433,2076,330,254,105,994,455,66,195,146,620,,25355,"39.9","41.27",30,762321,25,442,"seyfettin azizoğlu"
"eskişehir",189876,55150,167705,2856,10510,3548,450,1068,553,527,399,224,1327,269,1166,261,13925,"39.776667","30.520556",59,826716,26,222,"azmi çelik"
gaziantep,573530,89349,150698,5658,97526,4919,905,791,383,1197,1004,387,1122,,1891,607,6887,"37.06622","37.38332",280,1931836,27,342,"ali yerlikaya"
giresun,157212,37063,52740,2232,1437,1680,406,501,221,755,466,150,598,136,1386,92,6831,"40.912811","38.38953",62,426686,28,454,"hasan karahan"
"gümüşhane",46161,15224,3043,739,475,381,102,86,18,237,131,25,56,26,220,,644,"40.438588","39.508556",23,151449,29,456,"okay memiş"
hakkari,14591,1482,1250,137,56180,236,25,22,24,237,51,11,19,65,135,,7228,"37.583333","43.733333",38,278775,30,438,"cüneyt orhan toprak"
hatay,356833,102921,304947,3728,57141,2885,884,713,331,1384,332,238,1540,,1570,,5867,"36.401849","36.34981",261,1533507,31,326,"erdal ata"
istanbul,4238790,742323,2640872,65917,879364,34200,7118,4657,4907,8590,8809,2294,23201,,17453,7214,5313,"41.00527","28.97696",2758,14657434,34,"212:216","vasip şahin"
izmir,810016,294910,1217084,9492,228972,9723,2156,3934,2378,3431,2000,1072,13981,502,6738,1900,12007,"38.41885","27.12872",347,4168415,35,232,"erol ayyıldız"
"kahramanmaraş",403508,73324,54101,3503,19783,4956,667,616,141,1263,881,186,625,180,,170,14525,"37.585831","36.937149",75,1096610,46,344,"vahdettin özkan"
"karabük",78816,25846,19142,1607,868,778,367,358,126,277,187,91,267,88,483,100,4103,"41.2061","32.62035",57,236978,78,370,"mehmet aktaş"
