loc,evet_yuzde,hayir_yuzde
adana,58.412189,41.587811
adıyaman,86.919831,13.080169
afyonkarahisar,64.873096,35.126904
aksaray,86.909693,13.090307
amasya,76.643991,23.356009
ankara,57.902384,42.097616
antalya,62.968113,37.031887
ardahan,91.048593,8.951407
artvin,73.85214,26.14786
aydın,53.670034,46.329966
ağrı,90.687679,9.312321
balıkesir,77.434364,22.565636
bartın,56.223176,43.776824
batman,74.530516,25.469484
bayburt,87.5,12.5
bilecik,75.93361,24.06639
bingöl,82.518337,17.481663
bitlis,82.485876,17.514124
bolu,51.363636,48.636364
burdur,58.415842,41.584158
bursa,48.302731,51.697269
denizli,55.895334,44.104666
diyarbakır,59.967781,40.032219
düzce,64.233577,35.766423
edirne,50.410095,49.589905
elazığ,82.562278,17.437722
erzincan,41.162228,58.837772
erzurum,79.425494,20.574506
eskişehir,50.598845,49.401155
gaziantep,67.975305,32.024695
giresun,51.785714,48.214286
gümüşhane,73.484848,26.515152
hakkari,92.083333,7.916667
hatay,75.248719,24.751281
istanbul,52.866586,47.133414
izmir,35.218971,64.781029
kahramanmaraş,78.054299,21.945701
karabük,60.493827,39.506173
karaman,61.282051,38.717949
kars,57.974684,42.025316
kastamonu,74.115044,25.884956
kayseri,79.277794,20.722206
kilis,92.307692,7.692308
kocaeli,67.561025,32.438975
konya,80.195629,19.804371
kütahya,68.725361,31.274639
kırklareli,74.311927,25.688073
kırıkkale,70.669746,29.330254
kırşehir,71.178189,28.821811
malatya,82.552271,17.447729
manisa,58.4092,41.5908
mardin,74.687855,25.312145
mersin,51.860091,48.139909
muğla,52.634311,47.365689
muş,80.176211,19.823789
nevşehir,56.570156,43.429844
niğde,62.746479,37.253521
ordu,56.499133,43.500867
osmaniye,68.198198,31.801802
rize,83.629893,16.370107
sakarya,83.730953,16.269047
samsun,76.258206,23.741794
siirt,78.787879,21.212121
sinop,48.956357,51.043643
sivas,80.821918,19.178082
tekirdağ,64.108825,35.891175
tokat,65.47619,34.52381
trabzon,61.170592,38.829408
tunceli,53.703704,46.296296
uşak,42.370572,57.629428
van,63.378315,36.621685
yalova,74.310239,25.689761
yozgat,84.150156,15.849844
zonguldak,72.720588,27.279412
çanakkale,40.28169,59.71831
çankırı,68.848758,31.151242
çorum,77.401692,22.598308
şanlıurfa,84.263515,15.736485
şırnak,62.248996,37.751004
